#wavelength tot_background
1000. 2.41E-23 
1100. 4.38E-22 
1200. 4.02E-23 
1400. 2.93E-24 
1500. 9.54E-24 
1600. 2.30E-22 
1700. 7.14E-21 
1800. 1.51E-20 
1900. 2.24E-20 
2000. 3.59E-20 
2100. 1.23E-19 
2200. 2.17E-19 
2300. 1.75E-19 
2400. 1.79E-19 
2500. 2.47E-19 
2600. 2.94E-19 
2700. 1.00E-18 
2800. 2.91E-19 
2900. 2.08E-18 
3000. 1.29E-18 
3100. 1.67E-18 
3200. 2.61E-18 
3400. 3.45E-18
3500. 3.55E-18 
3600. 3.74E-18 
3700. 4.47E-18 
3800. 4.28E-18 
3900. 4.79E-18 
4000. 6.92E-18 
4250. 6.81E-18 
4500. 8.10E-18 
5000. 7.47E-18 
5250. 7.97E-18 
5500. 7.76E-18 
5750. 7.89E-18 
6000. 7.51E-18 
6250. 7.21E-18 
6500. 7.08E-18 
6750. 6.76E-18 
7000. 6.30E-18 
7250. 6.19E-18 
7500. 5.86E-18 
7750. 5.58E-18 
8000. 5.42E-18 
8250. 5.16E-18 
8500. 4.83E-18 
8750. 4.67E-18 
9000  4.40E-18
10000  3.70E-18
11000  3.06E-18
12000  2.61E-18
13000  2.24E-18
14000  1.93E-18
15000  1.66E-18
16000  1.43E-18
17000  1.21E-18
18000  1.21E-18
